window,value,percentile,total_count
81,1023,99.999,170
81,1023,100.0,170
82,64,0.0,180
82,511,50.0,510
82,1023,90.0,130
82,1023,99.0,130
82,1023,99.9,130
82,1023,99.99,130
82,1023,99.999,130
82,1023,100.0,130
83,16,0.0,20
83,511,50.0,340
83,1023,90.0,290
83,1023,99.0,290
83,1023,99.9,290
83,1023,99.99,290
83,1023,99.999,290
83,1023,100.0,290
84,16,0.0,40
84,511,50.0,340
84,1023,90.0,290
84,1023,99.0,290
84,1023,99.9,290
84,1023,99.99,290
84,1023,99.999,290
84,1023,100.0,290
85,32,0.0,60
85,511,50.0,405
85,1023,90.0,195
85,1023,99.0,195
85,1023,99.9,195
85,1023,99.99,195
85,1023,99.999,195
85,1023,100.0,195
86,32,0.0,80
86,511,50.0,340
86,1023,90.0,240
86,1023,99.0,240
86,1023,99.9,240
86,1023,99.99,240
86,1023,99.999,240
86,1023,100.0,240
87,32,0.0,90
87,511,50.0,510
87,1023,90.0,220
87,1023,99.0,220
87,1023,99.9,220
87,1023,99.99,220
87,1023,99.999,220
87,1023,100.0,220
88,4,0.0,7
88,511,50.0,534
88,1023,90.0,166
88,1023,99.0,166
88,1023,99.9,166
88,1023,99.99,166
88,1023,99.999,166
88,1023,100.0,166
89,64,0.0,140
89,511,50.0,446
89,1023,90.0,170
89,1023,99.0,170
89,1023,99.9,170
89,1023,99.99,170
89,1023,99.999,170
89,1023,100.0,170
90,2,0.0,64
90,127,50.0,514
90,127,90.0,514
90,127,99.0,514
90,127,99.9,514
90,127,99.99,514
90,127,99.999,514
90,127,100.0,514
91,2,0.0,369
91,7,50.0,485
91,127,90.0,139
91,127,99.0,139
91,127,99.9,139
91,127,99.99,139
91,127,99.999,139
91,127,100.0,139
92,1,0.0,11
92,7,50.0,369
92,15,90.0,274
92,127,99.0,39
92,127,99.9,39
92,127,99.99,39
92,127,99.999,39
92,127,100.0,39
93,2,0.0,261
93,7,50.0,526
93,31,90.0,213
93,31,99.0,213
93,31,99.9,213
93,31,99.99,213
93,31,99.999,213
93,31,100.0,213
94,2,0.0,423
94,7,50.0,188
94,31,90.0,113
94,31,99.0,113
94,31,99.9,113
94,31,99.99,113
94,31,99.999,113
94,31,100.0,113
95,2,0.0,62
95,7,50.0,651
95,31,90.0,275
95,63,99.0,12
95,63,99.9,12
95,63,99.99,12
95,63,99.999,12
95,63,100.0,12
96,2,0.0,346
96,7,50.0,191
96,127,90.0,188
96,127,99.0,188
96,127,99.9,188
96,127,99.99,188
96,127,99.999,188
96,127,100.0,188
97,2,0.0,179
97,7,50.0,457
97,63,90.0,275
97,127,99.0,89
97,127,99.9,89
97,127,99.99,89
97,127,99.999,89
97,127,100.0,89
98,2,0.0,163
98,15,50.0,275
98,127,90.0,264
98,127,99.0,264
98,127,99.9,264
98,127,99.99,264
98,127,99.999,264
98,127,100.0,264
99,4,0.0,183
99,15,50.0,376
99,127,90.0,166
99,127,99.0,166
99,127,99.9,166
99,127,99.99,166
