window,value,percentile,total_count
73,1023,99.9,242
73,1023,99.99,242
73,1023,99.999,242
73,1023,100.0,242
74,16,0.0,40
74,511,50.0,429
74,1023,90.0,191
74,1023,99.0,191
74,1023,99.9,191
74,1023,99.99,191
74,1023,99.999,191
74,1023,100.0,191
75,16,0.0,31
75,511,50.0,340
75,1023,90.0,270
75,1023,99.0,270
75,1023,99.9,270
75,1023,99.99,270
75,1023,99.999,270
75,1023,100.0,270
76,32,0.0,70
76,511,50.0,350
76,1023,90.0,240
76,1023,99.0,240
76,1023,99.9,240
76,1023,99.99,240
76,1023,99.999,240
76,1023,100.0,240
77,4,0.0,8
77,511,50.0,422
77,1023,90.0,168
77,1023,99.0,168
77,1023,99.9,168
77,1023,99.99,168
77,1023,99.999,168
77,1023,100.0,168
78,32,0.0,108
78,511,50.0,407
78,1023,90.0,210
78,1023,99.0,210
78,1023,99.9,210
78,1023,99.99,210
78,1023,99.999,210
78,1023,100.0,210
79,64,0.0,208
79,511,50.0,490
79,1023,90.0,210
79,1023,99.0,210
79,1023,99.9,210
79,1023,99.99,210
79,1023,99.999,210
79,1023,100.0,210
80,16,0.0,35
80,511,50.0,500
80,1023,90.0,180
80,1023,99.0,180
80,1023,99.9,180
80,1023,99.99,180
80,1023,99.999,180
80,1023,100.0,180
81,64,0.0,170
81,511,50.0,449
81,1023,90.0,140
81,1023,99.0,140
81,1023,99.9,140
81,1023,99.99,140
81,1023,99.999,140
81,1023,100.0,140
82,16,0.0,30
82,511,50.0,457
82,1023,90.0,213
82,1023,99.0,213
82,1023,99.9,213
82,1023,99.99,213
82,1023,99.999,213
82,1023,100.0,213
83,32,0.0,63
83,511,50.0,320
83,1023,90.0,300
83,1023,99.0,300
83,1023,99.9,300
83,1023,99.99,300
83,1023,99.999,300
83,1023,100.0,300
84,32,0.0,60
84,511,50.0,340
84,1023,90.0,250
84,1023,99.0,250
84,1023,99.9,250
84,1023,99.99,250
84,1023,99.999,250
84,1023,100.0,250
85,32,0.0,80
85,511,50.0,384
85,1023,90.0,186
85,1023,99.0,186
85,1023,99.9,186
85,1023,99.99,186
85,1023,99.999,186
85,1023,100.0,186
86,32,0.0,89
86,511,50.0,417
86,1023,90.0,220
86,1023,99.0,220
86,1023,99.9,220
86,1023,99.99,220
86,1023,99.999,220
86,1023,100.0,220
87,64,0.0,187
87,511,50.0,510
87,1023,90.0,200
87,1023,99.0,200
87,1023,99.9,200
87,1023,99.99,200
87,1023,99.999,200
87,1023,100.0,200
88,8,0.0,11
88,511,50.0,525
88,1023,90.0,165
88,1023,99.0,165
88,1023,99.9,165
88,1023,99.99,165
88,1023,99.999,165
88,1023,100.0,165
89,64,0.0,160
89,511,50.0,465
89,1023,90.0,150
89,1023,99.0,150
89,1023,99.9,150
89,1023,99.99,150
89,1023,99.999,150
89,1023,100.0,150
90,2,0.0,123
90,127,50.0,515
90,127,90.0,515
90,127,99.0,515
90,127,99.9,515
90,127,99.99,515
90,127,99.999,515
90,127,100.0,515
91,2,0.0,182
91,7,50.0,403
91,127,90.0,141
91,127,99.0,141
91,127,99.9,141
91,127,99.99,141
91,127,99.999,141
91,127,100.0,141
92,2,0.0,251
92,7,50.0,433
92,15,90.0,217
92,127,99.0,40
